code_family,code,label,keyword_count
friction,transport_access,Transport / Access,17
friction,cleanliness_comfort,Cleanliness / Comfort,11
friction,wayfinding_signage,Wayfinding / Signage,10
friction,accessibility_mobility,Accessibility / Mobility,9
friction,booking_ticketing,Booking / Ticketing,9
friction,food_amenities_gap,Food / Amenities Gap,9
friction,opening_hours_availability,Opening Hours / Availability,9
friction,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,8
friction,price_value,Price / Value,8
friction,staff_communication,Staff Communication,8
friction,waiting_crowding,Waiting / Crowding,8
friction,language_information_gap,Language Information Gap,4
sentiment,positive_sentiment,Positive Sentiment,15
sentiment,negative_sentiment,Negative Sentiment,14
sentiment,recommendation_intent,Recommendation / Intent,8
topic,scenic_nature,Scenic Nature,15
topic,temples_spiritual,Temples / Spiritual,12
topic,crafts_shopping,Crafts / Shopping,11
topic,history_culture,History / Culture,11
topic,fan_pilgrimage_pop_culture,Fan Pilgrimage / Pop Culture,10
topic,food_local_cuisine,Food / Local Cuisine,10
topic,hot_springs_relaxation,Hot Springs / Relaxation,10
topic,seasonal_events,Seasonal Events,10
topic,dinosaurs_museums,Dinosaurs / Museums,8
topic,accommodation,Accommodation,5
