evidence_family,code,label,count,denominator_posts,pct_posts
topic,temples_spiritual,Temples / Spiritual,90,200,45.0
topic,history_culture,History / Culture,77,200,38.5
topic,fan_pilgrimage_pop_culture,Fan Pilgrimage / Pop Culture,70,200,35.0
topic,scenic_nature,Scenic Nature,67,200,33.5
topic,food_local_cuisine,Food / Local Cuisine,49,200,24.5
topic,dinosaurs_museums,Dinosaurs / Museums,43,200,21.5
topic,hot_springs_relaxation,Hot Springs / Relaxation,43,200,21.5
topic,seasonal_events,Seasonal Events,37,200,18.5
topic,accommodation,Accommodation,35,200,17.5
topic,crafts_shopping,Crafts / Shopping,34,200,17.0
