snownlp_sentiment_category,reviewed_sentiment_group,keyword,count
negative,positive_sentiment,好,20
negative,positive_sentiment,推荐,9
negative,recommendation_intent,推荐,9
negative,positive_sentiment,美,6
negative,positive_sentiment,好吃,4
negative,negative_sentiment,一般,3
negative,negative_sentiment,差,3
negative,negative_sentiment,关门,2
negative,positive_sentiment,喜欢,2
negative,positive_sentiment,很好,2
negative,negative_sentiment,贵,2
negative,negative_sentiment,人多,1
negative,positive_sentiment,干净,1
negative,positive_sentiment,治愈,1
negative,positive_sentiment,满意,1
negative,negative_sentiment,踩雷,1
neutral,negative_sentiment,人多,1
neutral,positive_sentiment,值得,1
neutral,positive_sentiment,好,1
neutral,positive_sentiment,新鲜,1
neutral,positive_sentiment,美,1
positive,positive_sentiment,好,73
positive,positive_sentiment,美,56
positive,positive_sentiment,推荐,28
positive,recommendation_intent,推荐,28
positive,positive_sentiment,喜欢,20
positive,positive_sentiment,好吃,17
positive,positive_sentiment,很好,15
positive,negative_sentiment,贵,11
positive,positive_sentiment,值得,10
positive,negative_sentiment,差,7
positive,positive_sentiment,治愈,7
positive,negative_sentiment,一般,6
positive,positive_sentiment,震撼,6
positive,positive_sentiment,干净,5
positive,positive_sentiment,惊喜,4
positive,positive_sentiment,舒服,4
positive,negative_sentiment,不方便,3
positive,recommendation_intent,一定要去,2
positive,recommendation_intent,值得去,2
positive,negative_sentiment,关门,2
positive,negative_sentiment,失望,2
positive,recommendation_intent,必去,2
positive,positive_sentiment,新鲜,2
positive,negative_sentiment,无聊,2
positive,recommendation_intent,值得一看,1
positive,positive_sentiment,满意,1
positive,negative_sentiment,踩雷,1
positive,recommendation_intent,还会再来,1
