sentiment_group,source_platform,keyword,count,pct_all_rows
positive_sentiment,xiaohongshu,好,130,65.0
positive_sentiment,all,好,130,65.0
positive_sentiment,xiaohongshu,美,82,41.0
positive_sentiment,all,美,82,41.0
positive_sentiment,xiaohongshu,推荐,46,23.0
positive_sentiment,all,推荐,46,23.0
recommendation_intent,xiaohongshu,推荐,46,23.0
recommendation_intent,all,推荐,46,23.0
positive_sentiment,xiaohongshu,喜欢,35,17.5
positive_sentiment,all,喜欢,35,17.5
positive_sentiment,xiaohongshu,好吃,29,14.5
positive_sentiment,all,好吃,29,14.5
positive_sentiment,xiaohongshu,很好,24,12.0
positive_sentiment,all,很好,24,12.0
negative_sentiment,xiaohongshu,差,19,9.5
negative_sentiment,all,差,19,9.5
positive_sentiment,xiaohongshu,值得,19,9.5
positive_sentiment,all,值得,19,9.5
negative_sentiment,xiaohongshu,贵,17,8.5
negative_sentiment,all,贵,17,8.5
negative_sentiment,xiaohongshu,一般,15,7.5
negative_sentiment,all,一般,15,7.5
positive_sentiment,xiaohongshu,震撼,9,4.5
positive_sentiment,all,震撼,9,4.5
positive_sentiment,xiaohongshu,治愈,8,4.0
positive_sentiment,all,治愈,8,4.0
positive_sentiment,xiaohongshu,干净,7,3.5
positive_sentiment,all,干净,7,3.5
positive_sentiment,xiaohongshu,舒服,7,3.5
positive_sentiment,all,舒服,7,3.5
negative_sentiment,xiaohongshu,关门,6,3.0
negative_sentiment,all,关门,6,3.0
negative_sentiment,xiaohongshu,不方便,4,2.0
negative_sentiment,all,不方便,4,2.0
positive_sentiment,xiaohongshu,惊喜,4,2.0
positive_sentiment,all,惊喜,4,2.0
positive_sentiment,xiaohongshu,新鲜,4,2.0
positive_sentiment,all,新鲜,4,2.0
negative_sentiment,xiaohongshu,失望,3,1.5
negative_sentiment,all,失望,3,1.5
recommendation_intent,xiaohongshu,一定要去,3,1.5
recommendation_intent,all,一定要去,3,1.5
recommendation_intent,xiaohongshu,值得去,3,1.5
recommendation_intent,all,值得去,3,1.5
negative_sentiment,xiaohongshu,不值得,2,1.0
negative_sentiment,all,不值得,2,1.0
negative_sentiment,xiaohongshu,人多,2,1.0
negative_sentiment,all,人多,2,1.0
negative_sentiment,xiaohongshu,无聊,2,1.0
negative_sentiment,all,无聊,2,1.0
negative_sentiment,xiaohongshu,踩雷,2,1.0
negative_sentiment,all,踩雷,2,1.0
positive_sentiment,xiaohongshu,满意,2,1.0
positive_sentiment,all,满意,2,1.0
recommendation_intent,xiaohongshu,必去,2,1.0
recommendation_intent,all,必去,2,1.0
recommendation_intent,xiaohongshu,不要错过,1,0.5
recommendation_intent,all,不要错过,1,0.5
recommendation_intent,xiaohongshu,值得一看,1,0.5
recommendation_intent,all,值得一看,1,0.5
recommendation_intent,xiaohongshu,还会再来,1,0.5
recommendation_intent,all,还会再来,1,0.5
